id,state,Adana,Adiyaman,Afyonkarahisar,Agri,Amasya,Ankara,Antalya,Artvin,Aydin,Balikesir,Bilecik,Bingol,Bitlis,Bolu,Burdur,Bursa,Canakkale,Cankiri,Corum,Denizli,Diyarbakir,Edirne,Elazig,Erzincan,Erzurum,Eskisehir,Gaziantep,Giresun,Gumushane,Hakkari,Hatay,Isparta,Mersin,Istanbul,Izmir,Kars,Kastamonu,Kayseri,Kirklareli,Kirsehir,Kocaeli,Konya,Kutahya,Malatya,Manisa,Kahramanmaras,Mardin,Mugla,Mus,Nevsehir,Nigde,Ordu,Rize,Sakarya,Samsun,Siirt,Sinop,Sivas,Tekirdag,Tokat,Trabzon,Tunceli,Sanliurfa,Usak,Van,Yozgat,Zonguldak,Aksaray,Bayburt,Karaman,Kirikkale,Batman,Sirnak,Bartin,Ardahan,Igdir,Yalova,Karabuk,Kilis,Osmaniye,Duzce,total_imm,total_emm,diff,color
1,Adana,0,816,342,263,159,3764,3470,119,612,421,110,295,197,188,220,988,255,139,141,441,1358,121,833,278,474,451,2531,188,217,172,2896,352,6069,7969,2089,170,312,1771,156,238,767,1578,259,731,487,1730,1061,872,288,425,1809,109,91,232,276,351,36,593,343,257,215,166,2789,131,702,317,131,389,74,328,100,456,509,79,72,64,117,251,280,3074,68,52647,64192,-11545,#A40000
2,Adiyaman,905,0,92,136,40,986,1036,43,186,117,49,84,94,46,55,318,56,31,69,69,414,41,427,178,226,101,2335,57,72,104,430,76,1041,5007,403,116,87,188,90,63,221,325,68,2304,111,759,175,155,86,75,88,57,46,49,128,70,25,253,224,111,76,67,1252,52,166,61,48,68,39,71,57,143,122,47,24,56,24,84,188,192,29,18523,24064,-5541,#FF1818
3,Afyonkarahisar,235,67,0,118,62,1921,2219,45,748,361,236,69,57,78,448,703,143,41,79,2065,154,73,89,50,136,1933,222,70,60,87,194,977,291,2237,2228,65,78,179,68,65,616,1355,608,83,668,99,154,453,91,49,68,69,49,180,151,59,40,85,165,95,65,28,263,566,188,102,107,65,31,91,67,66,109,31,27,53,43,83,22,80,51,22922,26226,-3304,#FF5F5F
4,Agri,247,129,189,0,89,2749,529,65,701,373,126,74,181,134,131,1513,238,58,98,386,340,150,119,250,561,642,192,120,99,88,178,126,373,7691,2246,200,130,519,86,73,1454,535,126,176,408,126,133,443,271,66,73,118,90,579,212,98,43,172,723,165,365,46,213,160,1011,80,116,95,62,50,60,152,89,37,85,684,172,111,21,120,241,16597,32174,-15577,#700000
5,Amasya,129,40,48,101,0,1982,372,33,86,235,17,32,26,54,17,292,65,78,706,47,76,34,82,110,152,211,75,113,61,23,94,46,98,3140,476,42,112,198,29,29,313,317,69,65,104,61,68,139,33,34,23,259,35,88,1380,26,98,251,216,934,161,30,73,16,69,101,73,29,17,14,63,35,47,47,19,41,51,62,9,24,37,13957,15092,-1135,#FF9898
6,Ankara,2411,488,1727,963,1237,0,6522,622,2528,2421,413,390,533,2324,488,3631,1146,4457,3916,1290,2102,561,1009,750,1896,4112,1764,783,1938,522,1616,1153,2802,19021,8116,833,1750,2981,437,2739,2917,6837,1090,1263,1265,1146,1431,2799,526,1010,1121,1511,831,1579,2807,477,451,1817,1034,2090,1619,408,2331,360,1545,2926,1472,1460,423,411,4549,624,646,1043,392,406,444,1832,153,714,849,204048,153001,51047,#00395A
7,Antalya,1615,418,1481,263,185,5945,0,122,1289,655,133,102,189,219,2737,1445,389,128,365,1691,1148,163,345,256,468,1151,1094,218,624,172,1562,3223,1824,9137,3428,156,173,1011,151,263,899,3821,678,494,963,1090,449,2109,135,288,362,385,185,453,591,106,94,613,404,369,404,90,1848,601,887,332,317,392,88,572,276,415,243,98,49,82,188,248,109,566,143,96441,68374,28067,#0072BC
8,Artvin,114,22,49,48,44,904,185,0,94,70,34,17,7,26,15,1472,59,23,30,63,59,33,56,55,502,99,85,182,56,11,38,28,105,1684,340,79,50,55,21,36,590,118,43,46,77,67,41,98,5,22,23,216,588,157,502,19,56,29,84,75,508,16,47,13,56,44,62,22,33,25,22,24,24,15,91,27,97,34,13,58,32,9050,10969,-1919,#FF8F8F
9,Aydin,333,101,579,223,105,3588,1217,79,0,621,61,55,146,107,318,972,395,68,153,2864,307,112,136,129,280,504,228,111,76,71,246,467,354,4682,6599,103,100,279,111,101,580,713,245,112,1418,132,169,2907,128,95,71,119,97,219,337,97,44,221,255,164,156,75,279,351,313,104,162,83,30,80,73,181,99,62,38,61,82,154,35,76,91,42743,37689,5054,#0085DC
10,Balikesir,242,61,302,239,223,4177,890,59,741,0,244,94,108,149,141,4290,2147,62,185,465,358,416,166,136,266,986,272,142,146,140,237,243,293,12494,4827,130,173,298,299,92,1467,595,724,214,2265,133,280,587,145,92,104,161,129,443,340,94,67,202,681,173,273,104,306,186,276,124,273,93,44,59,125,132,113,95,44,70,266,200,24,74,182,43296,48892,-5596,#FF0F0F
11,Bilecik,101,34,119,44,6,499,178,11,99,213,0,16,27,38,37,1072,77,16,25,64,88,39,48,18,63,1570,35,22,12,25,49,77,88,1604,272,13,35,41,44,21,478,152,283,20,105,52,50,80,22,9,16,47,29,532,64,26,27,39,93,48,49,21,75,25,91,22,99,13,9,8,30,38,24,12,6,17,66,61,14,41,73,10890,9806,1084,#1BA5FF
12,Bingol,361,103,39,68,49,645,175,36,95,76,24,0,72,44,30,371,57,30,34,47,1184,35,1251,108,196,40,187,23,35,52,158,46,230,3093,319,45,23,112,20,21,297,148,26,587,108,185,113,74,242,25,33,47,26,110,80,47,23,99,69,88,58,66,233,41,142,43,17,27,15,34,20,69,62,27,21,33,48,24,27,118,36,9906,13122,-3216,#FF6866
13,Bitlis,506,96,62,215,48,1331,447,34,374,143,69,86,0,39,42,843,91,43,51,97,506,29,199,66,202,87,264,21,36,49,172,68,954,4941,811,66,60,136,28,26,394,236,67,196,436,157,117,121,495,31,57,38,43,132,75,295,26,85,206,64,58,27,170,52,819,38,79,40,28,20,15,351,65,25,18,33,129,33,29,113,50,11936,18801,-6865,#F00000
14,Bolu,103,19,69,78,45,2406,237,21,84,150,92,13,50,0,29,288,79,83,72,46,54,40,56,46,44,253,68,50,23,51,86,24,132,2404,229,34,125,102,35,28,619,127,46,48,86,73,54,100,30,17,38,99,44,525,115,31,19,76,106,79,51,16,82,36,80,31,456,24,21,12,40,47,46,193,20,13,63,381,7,50,552,14681,12401,2280,#029BFF
15,Burdur,156,36,321,64,20,491,3421,18,312,130,55,26,38,20,0,250,41,12,26,1119,59,22,45,24,75,97,87,22,34,27,104,946,217,715,527,27,39,87,19,21,121,342,105,45,196,56,60,417,36,19,39,48,23,57,60,22,25,30,30,46,32,15,98,88,66,28,31,47,6,59,27,24,30,7,15,25,15,17,11,53,26,12537,12247,290,#20A7FF
16,Bursa,680,112,639,470,228,3949,1467,780,980,3568,1105,211,303,317,258,0,1388,94,281,562,650,531,387,260,1502,1623,488,1421,512,114,356,363,609,11132,3088,290,265,438,367,120,2471,1215,2075,273,1143,270,371,818,713,134,223,409,435,1341,1324,175,90,380,815,394,831,123,648,259,692,288,647,229,301,96,173,223,195,196,264,177,1075,621,41,168,334,84253,64558,19695,#007CCC
17,Canakkale,210,31,122,126,54,1247,437,35,345,2020,90,36,52,431,68,1337,0,33,65,231,102,607,72,38,109,299,121,84,40,34,179,83,227,6585,1566,68,72,121,334,38,680,227,144,76,426,97,104,293,76,29,34,122,37,208,168,34,36,63,944,58,111,23,132,105,166,53,131,41,23,30,40,46,53,64,14,27,125,76,17,57,66,25096,23005,2091,#099EFF
18,Cankiri,109,25,60,58,45,6103,220,13,67,82,18,22,26,113,15,130,49,0,178,43,38,11,38,41,50,96,58,41,14,36,78,36,87,4564,182,20,334,123,21,45,324,165,30,27,56,41,54,56,18,25,26,90,24,73,167,26,36,53,69,63,53,14,139,27,77,58,164,34,8,24,142,20,35,71,24,31,20,424,5,28,38,12702,16148,-3446,#FF4F4F
19,Corum,120,34,105,91,759,8058,639,37,233,163,23,31,31,182,65,450,77,179,0,82,74,43,67,58,169,171,81,149,69,37,67,76,135,2879,758,53,286,282,45,83,402,360,97,48,145,75,93,199,56,56,46,200,58,102,1037,46,134,290,102,394,196,33,149,24,112,310,86,39,27,21,291,24,69,59,20,43,31,98,17,34,72,16286,22636,-6350,#F80000
20,Denizli,279,62,1220,163,48,1328,1619,28,2159,422,124,24,70,48,806,495,177,44,77,0,116,78,90,50,187,367,192,78,53,55,209,642,277,2486,2794,91,85,198,75,46,289,641,326,92,961,129,116,1654,115,47,81,111,58,153,142,74,49,102,152,94,96,41,235,592,256,69,126,67,18,66,68,87,80,29,32,61,56,77,25,57,75,30185,24961,5224,#0083D8
21,Diyarbakir,1790,612,193,351,119,3420,2492,87,666,640,188,1198,508,108,101,2075,253,56,79,277,0,126,2167,238,507,597,1099,118,109,168,768,183,2029,10254,3780,265,133,448,123,180,845,784,212,1045,579,395,1876,514,600,115,107,118,100,225,260,606,85,318,415,256,157,554,2059,112,701,147,95,122,33,115,127,2214,384,54,95,127,302,127,151,261,128,36124,56025,-19901,#400000
22,Edirne,127,24,76,135,34,654,218,48,147,354,37,21,59,58,23,472,570,30,34,90,88,0,39,59,94,141,57,52,48,58,144,31,146,5706,641,88,51,100,1021,14,388,141,56,75,219,55,68,118,47,35,24,125,36,146,142,45,37,68,2701,69,58,26,111,38,138,21,101,37,24,20,23,40,71,34,32,44,55,84,11,51,55,18779,17458,1321,#19A4FF
23,Elazig,540,281,86,76,59,1500,613,46,213,194,59,900,127,69,38,524,101,22,71,107,1142,68,0,345,364,153,392,110,66,43,215,89,475,3589,845,78,73,352,33,70,406,281,114,2395,148,331,146,168,204,52,43,67,54,127,143,78,28,209,144,134,117,677,308,24,183,67,61,52,41,35,61,127,89,29,54,29,58,56,47,114,70,22170,21699,471,#1EA6FF
24,Erzincan,219,159,65,145,87,1039,389,55,195,152,23,90,90,28,31,423,76,28,65,83,218,40,293,0,947,126,175,89,419,61,143,50,225,4819,613,97,39,215,25,45,321,239,50,291,108,170,130,99,89,52,61,148,72,133,199,34,20,293,154,215,272,129,195,39,183,102,42,45,132,25,22,89,77,25,34,121,68,60,26,93,28,14062,16766,-2704,#FF7878
25,Erzurum,332,133,164,423,147,3275,770,399,450,494,120,131,111,93,87,3457,183,74,123,427,278,92,221,883,0,336,324,305,222,64,235,84,346,9903,2778,595,132,572,201,92,2286,612,123,219,524,244,128,256,233,148,101,299,693,560,537,44,80,250,1231,228,743,50,412,98,285,143,136,98,247,68,67,99,88,50,276,279,420,82,32,149,129,29624,41803,-12179,#800000
26,Eskisehir,289,65,1138,188,109,3732,1118,82,503,686,1061,36,71,134,85,1502,294,69,114,325,238,103,144,79,166,0,239,103,31,65,227,218,398,3624,1616,106,87,392,109,58,828,899,1054,196,429,158,151,532,71,85,110,156,63,453,390,74,62,166,286,142,151,36,357,160,272,80,209,78,18,46,138,104,77,65,23,48,122,182,27,79,117,36041,28298,7743,#007FD3
27,Gaziantep,2322,2086,225,165,129,2605,2564,72,405,398,59,171,165,120,109,816,161,72,118,337,745,92,610,157,312,299,0,186,258,123,2259,227,2423,5121,1431,151,109,554,108,130,599,794,135,908,258,3328,543,577,112,144,266,98,102,167,268,240,42,306,266,179,214,151,4524,129,476,173,97,164,79,130,109,307,482,44,69,43,84,111,2251,1436,59,46435,48858,-2423,#FF8888
28,Giresun,130,55,64,102,91,952,288,147,116,153,31,28,28,61,32,1251,104,28,92,85,73,38,92,108,434,136,116,0,448,24,109,45,140,11814,377,89,86,136,50,30,1860,209,50,79,125,121,53,116,37,44,28,1273,276,299,1024,32,74,238,151,193,1223,16,89,22,117,57,160,33,96,24,30,55,68,30,49,42,93,99,12,60,102,22308,26942,-4634,#FF3838
29,Gumushane,118,55,72,70,61,1497,444,37,61,114,30,40,33,19,28,744,55,16,59,50,64,52,46,833,384,69,70,541,0,11,100,87,181,5297,555,29,41,141,130,62,1081,164,38,66,58,89,47,54,20,23,43,200,179,115,413,19,28,91,137,99,1554,10,67,33,75,66,77,52,169,24,25,40,24,19,19,24,18,53,4,82,42,20437,17737,2700,#0093F3
30,Hakkari,182,81,66,112,36,871,357,17,159,149,18,55,68,38,46,293,55,14,45,115,206,53,86,58,96,93,154,30,28,0,152,131,503,1839,437,97,44,104,49,19,159,175,33,95,113,123,75,80,58,21,38,50,31,96,114,66,23,104,172,60,60,68,139,28,3427,42,43,26,6,26,29,67,159,14,21,54,18,23,15,39,37,8216,12983,-4767,#FF2F2F
31,Hatay,2800,443,233,151,119,2613,3130,78,536,257,82,122,138,134,192,562,213,75,107,295,632,153,423,147,252,406,2452,189,159,134,0,263,2354,6138,1495,101,143,454,109,135,681,747,163,510,263,1439,405,898,156,150,282,110,80,201,259,155,63,333,224,158,222,130,1245,121,289,136,148,179,58,131,114,215,209,68,62,40,89,257,488,1535,87,32868,41519,-8651,#D00000
