id,state,Adana,Adiyaman,Afyonkarahisar,Agri,Amasya,Ankara,Antalya,Artvin,Aydin,Balikesir,Bilecik,Bingol,Bitlis,Bolu,Burdur,Bursa,Canakkale,Cankiri,Corum,Denizli,Diyarbakir,Edirne,Elazig,Erzincan,Erzurum,Eskisehir,Gaziantep,Giresun,Gumushane,Hakkari,Hatay,Isparta,Mersin,Istanbul,Izmir,Kars,Kastamonu,Kayseri,Kirklareli,Kirsehir,Kocaeli,Konya,Kutahya,Malatya,Manisa,Kahramanmaras,Mardin,Mugla,Mus,Nevsehir,Nigde,Ordu,Rize,Sakarya,Samsun,Siirt,Sinop,Sivas,Tekirdag,Tokat,Trabzon,Tunceli,Sanliurfa,Usak,Van,Yozgat,Zonguldak,Aksaray,Bayburt,Karaman,Kirikkale,Batman,Sirnak,Bartin,Ardahan,Igdir,Yalova,Karabuk,Kilis,Osmaniye,Duzce
1,Adana,0,1059,179,268,96,2016,1622,33,300,222,59,392,649,107,100,582,198,56,99,252,1849,71,677,131,343,219,1883,77,33,157,3125,188,5662,4781,1116,116,113,1273,95,120,364,1392,121,900,275,1755,5017,450,373,184,1903,68,69,190,211,542,39,273,256,166,114,118,2483,69,626,234,130,406,61,154,106,399,497,24,32,58,40,40,187,2959,82
2,Adiyaman,690,0,40,39,22,324,385,7,77,52,9,38,42,24,13,137,40,11,29,50,364,25,121,39,69,76,1420,28,6,26,173,18,698,2439,215,33,26,79,33,26,103,173,16,1138,95,431,156,71,49,37,21,19,34,26,52,62,12,60,87,27,32,22,776,29,96,41,18,21,6,15,16,90,87,7,16,19,4,10,43,121,10
3,Afyonkarahisar,350,95,0,162,53,1374,1268,25,484,242,139,47,62,74,224,466,91,39,79,2169,153,54,68,26,126,970,259,59,10,41,209,683,342,1622,1968,69,89,127,42,46,275,1198,467,98,595,114,156,333,87,38,71,61,49,124,117,34,25,96,114,66,63,20,195,430,102,86,84,76,23,98,85,47,82,21,29,60,31,40,6,84,37
4,Agri,174,54,46,0,55,687,137,43,210,117,20,36,280,21,48,401,140,27,39,209,178,117,44,137,342,137,99,21,14,36,130,37,226,2627,727,102,27,193,91,24,373,204,48,81,191,57,79,189,249,19,16,37,46,133,92,17,19,112,246,51,178,2,91,54,553,30,36,32,69,14,30,65,28,2,23,409,33,27,13,78,36
5,Amasya,106,43,36,45,0,1182,151,16,38,206,8,33,51,23,16,257,40,42,693,58,88,37,25,17,118,101,60,51,19,27,93,33,95,2828,361,53,82,142,39,34,183,146,38,89,98,55,44,55,33,33,26,239,37,44,1148,42,73,146,107,748,123,21,55,15,62,94,33,32,12,23,79,21,55,23,14,31,29,25,10,28,17
6,Ankara,2958,732,1414,1623,1561,0,4562,606,1478,2170,416,462,1344,2195,350,3523,807,5356,10028,1032,3003,615,1171,798,2710,3326,1571,696,602,690,2053,1178,3395,15438,6087,1987,1096,3376,494,4439,2281,5786,962,2282,1280,1611,1460,1778,523,1227,1655,2189,877,1142,3834,616,469,2819,1060,2962,1833,536,2180,375,1874,8832,1666,2110,321,450,7716,694,1032,625,541,505,356,842,136,767,647
7,Antalya,2286,722,1870,368,254,5137,0,107,1008,623,177,184,290,203,2808,1393,263,233,498,1339,1663,178,501,276,672,1190,1682,227,188,196,2086,3492,2507,8744,3145,263,191,1242,143,339,665,5535,682,758,1158,1410,884,1797,236,322,522,410,180,316,664,168,123,983,366,479,353,148,1672,676,1056,706,429,498,75,851,510,570,317,113,67,124,197,119,100,611,158
8,Artvin,63,17,30,35,23,563,82,0,39,35,8,9,15,20,13,759,26,3,16,38,45,16,21,26,306,46,40,56,12,4,40,19,82,1124,233,37,18,38,20,6,329,49,27,36,21,29,18,52,9,16,2,93,444,84,230,11,24,31,32,39,276,5,14,7,41,29,41,13,14,1,25,10,9,3,59,14,28,13,3,32,10
9,Aydin,388,146,567,539,82,1543,804,69,0,456,54,88,357,58,173,552,186,51,136,1680,442,93,205,154,368,380,206,73,32,85,189,378,380,2188,5245,112,73,238,106,64,301,708,252,277,973,205,260,1936,438,90,125,137,89,133,257,165,43,210,181,118,149,84,482,233,344,161,148,95,24,83,88,173,147,36,43,110,55,61,19,101,50
10,Balikesir,296,110,226,324,207,1852,505,79,420,0,146,82,192,106,79,2694,1723,69,170,306,566,276,189,154,462,529,275,92,94,150,277,167,341,5920,3191,183,141,287,201,99,781,438,576,365,1923,195,335,386,235,87,85,129,117,268,256,100,52,269,538,192,261,85,298,177,326,203,283,66,58,51,120,87,149,57,68,78,131,76,24,91,79
